Designator,Description,Footprint

"ANT1","ANT 2.4GHZ 802.11 BLUETOOTH SMD","ANTENNACHIP"
"BAL1","BALUN 2.4GHZ","BALUN_PACKAGE"
"C1","Capacitor (Semiconductor SIM Model)","J1-0603"
"C3","Capacitor (Semiconductor SIM Model)","0402"
"C4","Capacitor (Semiconductor SIM Model)","0402_ss"
"C5","Capacitor (Semiconductor SIM Model)","0402"
"C6","Capacitor (Semiconductor SIM Model)","0402"
"C7","Capacitor (Semiconductor SIM Model)","0402"
"C8","Capacitor (Semiconductor SIM Model)","0402"
"C9","Capacitor (Semiconductor SIM Model)","0402"
"C10","Capacitor (Semiconductor SIM Model)","0402"
"C11","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"C12","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"C13","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"C14","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"C15","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"C16","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"C17","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"C18","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"C19","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"C20","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"C21","Capacitor (Semiconductor SIM Model)","0402"
"C22","Capacitor (Semiconductor SIM Model)","0402"
"C32","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"C33","CAP CER 22UF 10V X5R 0603","C0603-MURATA-GR"
"C34","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"C56","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"C57","CAP CER 22UF 10V X5R 0603","C0603-MURATA-GR"
"C58","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"C78","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"C79","CAP CER 22UF 10V X5R 0603","C0603-MURATA-GR"
"C80","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Ca1","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Ca2","CAP CER 10000PF 25V X5R 0201","C0201-MURATA-GR"
"Ca3","CAP CER 2200PF 50V X7R 0402","C0402-MURATA-GR"
"Ca4","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb1","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb2","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb3","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb4","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb5","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb6","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb7","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb8","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb9","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb10","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb11","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb12","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb20","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb21","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb22","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb23","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb24","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb25","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb26","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb27","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb28","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb30","CAP CER 22UF 10V X5R 0603","C0603-MURATA-GR"
"Cb31","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"Cb40","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb41","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb42","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb43","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb44","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb45","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb46","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb47","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb50","CAP CER 22UF 10V X5R 0603","C0603-MURATA-GR"
"Cb60","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Cb70","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb71","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb72","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb73","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb80","CAP CER 22UF 10V X5R 0603","C0603-MURATA-GR"
"Cb90","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb91","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb92","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb93","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb94","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb95","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb96","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cb97","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"CbA0","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"CbA1","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"CbB0","CAP CER 22UF 10V X5R 0603","C0603-MURATA-GR"
"Cc1","CAP CER 12PF 50V NP0 0402","C0402-MURATA-GR"
"Cc2","CAP CER 12PF 50V NP0 0402","C0402-MURATA-GR"
"Cc3","CAP CER 10000PF 25V X5R 0201","C0201-MURATA-GR"
"Cd1","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"Cd2","CAP CER 0.1UF 16V X7S 0201","C0201-MURATA-GR"
"Ce1","CAP CER 1UF 16V X5R 0402","C0402-TDK-C"
"Ce2","CAP CER 1UF 16V X5R 0402","C0402-TDK-C"
"Ce3","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"Ce4","CAP CER 1000PF 50V X5R 0402","C0402-MURATA-GR"
"Cn1","CAP CER 5PF 50V NP0 0402 +-0.1pf","C0402-MURATA-GR"
"Cn2","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"Cn5","Capacitor","C0402-MURATA-GR"
"Cn6","Capacitor","C0402-MURATA-GR"
"Cn9","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"CO1","12 pin female JTAG/SWD header for SmartFusion2 and Nordic","CONN_12-CLP"
"CO3","CONN HEADER 80POS 3MM SMD 0.5MM","CONN_DF12(3.0)-80DP_BOTTOM"
"CO4","CONN HEADER 80POS 3MM SMD 0.5MM","CONN_DF12(3.0)-80DP_BOTTOM"
"CObat","Header 1x2","HEADER, 2 PIN, 2MM(79MIL)"
"COch1","Header 1x2","HEADER, 2 PIN, 2MM(79MIL)"
"COch2","USB micro-B connector","USB-MICROB_AMP_10118194-0001LF"
"Cr1","CAP CER 12PF 50V NP0 0402","C0402-MURATA-GR"
"Cr2","CAP CER 12PF 50V NP0 0402","C0402-MURATA-GR"
"Cr3","CAP CER 0.1UF 16V X7S 0201","0402_ss"
"Cr4","CAP CER 0.1UF 50V X5R 0402","C0402-MURATA-GR"
"Cr5","CAP CER 0.1UF 16V X7S 0201","0201"
"Cr6","CAP CER 1000PF 50V X5R 0402","C0402-MURATA-GR"
"Cr7","CAP CER 0.047UF 25V X7R 0402 10%","C0402-MURATA-GR"
"Cr8","CAP CER 2200PF 50V X7R 0402","C0402-MURATA-GR"
"Cs1","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"Cs2","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"Cs3","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"Cs4","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"Cs5","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"Cs6","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"Cs7","CAP CER 4.7UF 35V X5R 0603","C0603-MURATA-GR"
"Cs8","CAP CER 10UF 25V X5R 0603 20%","C0603-MURATA-GR"
"Cs9","CAP CER 22PF 50V NP0 0402","C0402-MURATA-GR"
"CW1","Capacitor (Semiconductor SIM Model)","0402"
"CW2","Capacitor (Semiconductor SIM Model)","0402"
"J1","12 pin female JTAG/SWD header for SmartFusion2 and Nordic","CONN_16-CLP"
"L1","Semi-shielded Power Inductor, 22uH, 3A","BOUR-IND-SRN4026"
"LED0","LED ORANGE CLEAR 0603 SMD","LED-0603"
"LED1","LED YELLOW CLEAR 0603 SMD","LED-0603"
"LED2","LED RED CLEAR 0603 SMD","LED-0603"
"LED3","LED ORANGE CLEAR 0603 SMD","LED-0603"
"LED4","LED RED CLEAR 0603 SMD","LED-0603"
"Ls1","FIXED IND 2.2UH 1A 120 MOHM SMD","LEAD_REGULATOR"
"Ls2","FIXED IND 2.2UH 1A 120 MOHM SMD","LEAD_REGULATOR"
"Ls3","FIXED IND 2.2UH 1A 120 MOHM SMD","LEAD_REGULATOR"
"Ls4","FIXED IND 2.2UH 1A 120 MOHM SMD","LEAD_REGULATOR"
"R1","Resistor","0402"
"R2","Resistor","0603"
"R3","RES SMD 1K OHM 1% 1/20W 0201","0201_P"
"R4","RES SMD 1K OHM 1% 1/20W 0201","0201_P"
"R5","RES SMD 1K OHM 1% 1/20W 0201","0201_P"
"R6","Resistor","0402_ss"
"R7","Resistor","0402_ss"
"Rc0","RES SMD 110 OHM 1% 1/10W 0402","0201_P"
"Rc1","RES SMD 110 OHM 1% 1/10W 0402","0201_P"
"Rc2","RES SMD 10K OHM 1% 1/20W 0201","0201_P"
"Rc3","RES SMD 1K OHM 1% 1/20W 0201","0201_P"
"Rc4","RES SMD 0.0OHM JUMPER 1/10W 0402","0402_P"
"Rc5","RES SMD 0.0OHM JUMPER 1/10W 0402","0402_P"
"Rc6","RES SMD 33 OHM 1% 1/10W 0402","0402_P"
"Rc7","RES SMD 1K OHM 1% 1/10W 0402","0402_P"
"Rc8","RES SMD 1K OHM 1% 1/10W 0402","0402_P"
"Rc9","RES SMD 33 OHM 1% 1/10W 0402","0402_P"
"RcA","RES SMD 33 OHM 1% 1/10W 0402","0402_P"
"RcB","RES SMD 33 OHM 1% 1/10W 0402","0402_P"
"RcC","RES SMD 110 OHM 1% 1/10W 0402","0201_P"
"RcD","RES SMD 110 OHM 1% 1/10W 0402","0201_P"
"Rd2","RES SMD 1K OHM 1% 1/20W 0201","0201_P"
"Rd3","RES SMD 1K OHM 1% 1/20W 0201","0201_P"
"Re1","RES SMD 1 OHM 1% 1/6W 0402","0402_P"
"Re2","RES SMD 499 OHM 1% 1/10W 0402","0402_P"
"Re3","RES SMD 1M OHM 1% 1/10W 0402","0402_P"
"Re4","RES SMD 2K OHM 1% 1/10W 0402","0402_P"
"Re5","RES SMD 1 OHM 1% 1/6W 0402","0402_P"
"Re6","RES SMD 10K OHM 1% 1/10W 0402","0402_P"
"Re7","Resistor","0402_P"
"Re8","RES SMD 150 OHM 5% 1/5W 0402","0402_P"
"Rn1","RES SMD 270 OHM 1% 1/10W 0402","0402_P"
"Rn2","RES SMD 10K OHM 1% 1/10W 0402","0402_P"
"Rn3","RES SMD 499K OHM 1% 1/10W 0402","0402_P"
"Rn4","RES SMD 10K OHM 1% 1/10W 0402","0402_P"
"Rn9","RES SMD 47K OHM 1% 1/10W 0402","0402_P"
"RnB","RES SMD 0.0OHM JUMPER 1/10W 0402","0402_P"
"RnC","RES SMD 0.0OHM JUMPER 1/10W 0402","0402_P"
"RnF","Resistor","0402_P"
"Rr0","RES SMD 33 OHM 1% 1/10W 0402","0201"
"Rr1","RES SMD 33 OHM 1% 1/10W 0402","0201"
"Rr2","RES SMD 33 OHM 1% 1/10W 0402","0201"
"Rr3","RES SMD 33 OHM 1% 1/10W 0402","0201"
"Rr4","RES SMD 10K OHM 1% 1/10W 0402","0201"
"Rr5","RES SMD 10K OHM 1% 1/10W 0402","0402_P"
"Rr6","RES SMD 1K OHM 1% 1/10W 0402","0201"
"Rs1","RES SMD 715K OHM 1% 1/20W 0201","0201_P"
"Rs2","RES SMD 180K OHM 1% 1/20W 0201","0201_P"
"RVREG1","Resistor","J1-0603"
"SW1","SWITCH SLIDE DIP SPST 100MA 6V","SWITCH_SPST_CHS-01TB"
"U1","SmartFusion2","MCSM-CS-325"
"U2","Mr. Wolf PULP Heterogeneous Multi-Core System-On-Chip","QFN50P900X900X100_HS_NOVIAS_65M"
"U3","IC SOC 2.4GHZ MULTIPROTO 62WLCS","BGA_NORDIC"
"U4","Neuromodulator","NMV2"
"U6","IC REG BUCK 1.2V 0.6A SYNC 6SON","TPS_PACKAGE_NOVIA"
"U7","IC REG BUCK 1.8V 0.6A SYNC 6SON","TPS_PACKAGE_NOVIA"
"U8","IC REG BUCK 2.5V 0.6A SYNC 6SON","TPS_PACKAGE_NOVIA"
"U9","IC REG BUCK ADJ 0.6A SYNC 6SON","TPS_PACKAGE_NOVIA"
"U10","GYRO/ACCELEROMETER 6AXIS 24QFN","QFN-24"
"U11","IC CHARGER BATT LI-ON 6-DFN","DFN-6_LT"
"Un3","IC INVERTER ULP-A DUAL 6MICROPAK","6MICROPAK"
"Un5","Single level converter","YZP6-TI"
"Y1","CRYSTAL 20.0000MHZ 10PF SMD","XOSC_4PIN"
"Y2","CRYSTAL 16.0000MHZ 10PF SMD","XOSC_4PIN"
"YW1","20 ppm, Ultra-Low Power 32.768 kHz Quartz XTAL Replacement","SiT1533-C"
